Num of Layer Detected :  65 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |TIDL_cast_in                                      |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      224      224 |    150528 |
    1|TIDL_DataConvertLayer         |TIDL_cast_in_netFormat                            |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      224      224 |       1        1        1        3      224      224 |    150528 |
    2|TIDL_BatchNormLayer           |input.1                                           |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      224      224 |       1        1        1        3      224      224 |    150528 |
    3|TIDL_ConvolutionLayer         |269                                               |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1        3      224      224 |       1        1        1       32      112      112 |  10838016 |
    4|TIDL_ConvolutionLayer         |274                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      112      112 |       1        1        1       24      112      112 |   9633792 |
    5|TIDL_ConvolutionLayer         |271                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  5       |       1        1        1       32      112      112 |       1        1        1       24       56       56 |   2408448 |
    6|TIDL_ConvolutionLayer         |277                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  6       |       1        1        1       24      112      112 |       1        1        1       24       56       56 |   5419008 |
    7|TIDL_ConvolutionLayer         |279                                               |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1        1        1       24       56       56 |       1        1        1       24       56       56 |   1806336 |
    8|TIDL_EltWiseLayer             |281                                               |     0|     2|     1|  5   7   x   x   x   x   x   x |  8       |       1        1        1       24       56       56 |       1        1        1       24       56       56 |     75264 |
    9|TIDL_ConvolutionLayer         |286                                               |     0|     1|     1|  8   x   x   x   x   x   x   x |  9       |       1        1        1       24       56       56 |       1        1        1       56       56       56 |   4214784 |
   10|TIDL_ConvolutionLayer         |283                                               |     0|     1|     1|  8   x   x   x   x   x   x   x | 10       |       1        1        1       24       56       56 |       1        1        1       56       28       28 |   1053696 |
   11|TIDL_ConvolutionLayer         |289                                               |     0|     1|     1|  9   x   x   x   x   x   x   x | 11       |       1        1        1       56       56       56 |       1        1        1       56       28       28 |   3161088 |
   12|TIDL_ConvolutionLayer         |291                                               |     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1        1        1       56       28       28 |       1        1        1       56       28       28 |   2458624 |
   13|TIDL_EltWiseLayer             |293                                               |     0|     2|     1| 10  12   x   x   x   x   x   x | 13       |       1        1        1       56       28       28 |       1        1        1       56       28       28 |     43904 |
   14|TIDL_ConvolutionLayer         |298                                               |     0|     1|     1| 13   x   x   x   x   x   x   x | 14       |       1        1        1       56       28       28 |       1        1        1      152       28       28 |   6673408 |
   15|TIDL_ConvolutionLayer         |295                                               |     0|     1|     1| 13   x   x   x   x   x   x   x | 15       |       1        1        1       56       28       28 |       1        1        1      152       14       14 |   1668352 |
   16|TIDL_ConvolutionLayer         |301                                               |     0|     1|     1| 14   x   x   x   x   x   x   x | 16       |       1        1        1      152       28       28 |       1        1        1      152       14       14 |   2145024 |
   17|TIDL_ConvolutionLayer         |303                                               |     0|     1|     1| 16   x   x   x   x   x   x   x | 17       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   4528384 |
   18|TIDL_EltWiseLayer             |305                                               |     0|     2|     1| 15  17   x   x   x   x   x   x | 18       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |     29792 |
   19|TIDL_ConvolutionLayer         |308                                               |     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   4528384 |
   20|TIDL_ConvolutionLayer         |311                                               |     0|     1|     1| 19   x   x   x   x   x   x   x | 20       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   2145024 |
   21|TIDL_ConvolutionLayer         |313                                               |     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   4528384 |
   22|TIDL_EltWiseLayer             |315                                               |     0|     2|     1| 18  21   x   x   x   x   x   x | 22       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |     29792 |
   23|TIDL_ConvolutionLayer         |318                                               |     0|     1|     1| 22   x   x   x   x   x   x   x | 23       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   4528384 |
   24|TIDL_ConvolutionLayer         |321                                               |     0|     1|     1| 23   x   x   x   x   x   x   x | 24       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   2145024 |
   25|TIDL_ConvolutionLayer         |323                                               |     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   4528384 |
   26|TIDL_EltWiseLayer             |325                                               |     0|     2|     1| 22  25   x   x   x   x   x   x | 26       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |     29792 |
   27|TIDL_ConvolutionLayer         |328                                               |     0|     1|     1| 26   x   x   x   x   x   x   x | 27       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   4528384 |
   28|TIDL_ConvolutionLayer         |331                                               |     0|     1|     1| 27   x   x   x   x   x   x   x | 28       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   2145024 |
   29|TIDL_ConvolutionLayer         |333                                               |     0|     1|     1| 28   x   x   x   x   x   x   x | 29       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |   4528384 |
   30|TIDL_EltWiseLayer             |335                                               |     0|     2|     1| 26  29   x   x   x   x   x   x | 30       |       1        1        1      152       14       14 |       1        1        1      152       14       14 |     29792 |
   31|TIDL_ConvolutionLayer         |340                                               |     0|     1|     1| 30   x   x   x   x   x   x   x | 31       |       1        1        1      152       14       14 |       1        1        1      368       14       14 |  10963456 |
   32|TIDL_ConvolutionLayer         |337                                               |     0|     1|     1| 30   x   x   x   x   x   x   x | 32       |       1        1        1      152       14       14 |       1        1        1      368        7        7 |   2740864 |
   33|TIDL_ConvolutionLayer         |343                                               |     0|     1|     1| 31   x   x   x   x   x   x   x | 33       |       1        1        1      368       14       14 |       1        1        1      368        7        7 |   1298304 |
   34|TIDL_ConvolutionLayer         |345                                               |     0|     1|     1| 33   x   x   x   x   x   x   x | 34       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   35|TIDL_EltWiseLayer             |347                                               |     0|     2|     1| 32  34   x   x   x   x   x   x | 35       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |     18032 |
   36|TIDL_ConvolutionLayer         |350                                               |     0|     1|     1| 35   x   x   x   x   x   x   x | 36       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   37|TIDL_ConvolutionLayer         |353                                               |     0|     1|     1| 36   x   x   x   x   x   x   x | 37       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   1298304 |
   38|TIDL_ConvolutionLayer         |355                                               |     0|     1|     1| 37   x   x   x   x   x   x   x | 38       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   39|TIDL_EltWiseLayer             |357                                               |     0|     2|     1| 35  38   x   x   x   x   x   x | 39       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |     18032 |
   40|TIDL_ConvolutionLayer         |360                                               |     0|     1|     1| 39   x   x   x   x   x   x   x | 40       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   41|TIDL_ConvolutionLayer         |363                                               |     0|     1|     1| 40   x   x   x   x   x   x   x | 41       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   1298304 |
   42|TIDL_ConvolutionLayer         |365                                               |     0|     1|     1| 41   x   x   x   x   x   x   x | 42       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   43|TIDL_EltWiseLayer             |367                                               |     0|     2|     1| 39  42   x   x   x   x   x   x | 43       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |     18032 |
   44|TIDL_ConvolutionLayer         |370                                               |     0|     1|     1| 43   x   x   x   x   x   x   x | 44       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   45|TIDL_ConvolutionLayer         |373                                               |     0|     1|     1| 44   x   x   x   x   x   x   x | 45       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   1298304 |
   46|TIDL_ConvolutionLayer         |375                                               |     0|     1|     1| 45   x   x   x   x   x   x   x | 46       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   47|TIDL_EltWiseLayer             |377                                               |     0|     2|     1| 43  46   x   x   x   x   x   x | 47       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |     18032 |
   48|TIDL_ConvolutionLayer         |380                                               |     0|     1|     1| 47   x   x   x   x   x   x   x | 48       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   49|TIDL_ConvolutionLayer         |383                                               |     0|     1|     1| 48   x   x   x   x   x   x   x | 49       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   1298304 |
   50|TIDL_ConvolutionLayer         |385                                               |     0|     1|     1| 49   x   x   x   x   x   x   x | 50       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |   6635776 |
   51|TIDL_EltWiseLayer             |387                                               |     0|     2|     1| 47  50   x   x   x   x   x   x | 51       |       1        1        1      368        7        7 |       1        1        1      368        7        7 |     18032 |
