Num of Layer Detected : 129 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |images                                            |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      640      640 |         0 |
    1|TIDL_DataConvertLayer         |images_netFormat                                  |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      640      640 |       1        1        1        3      640      640 |   1228800 |
    2|TIDL_ConvolutionLayer         |/0/backbone/backbone/stem/stem.0/act/Relu_output_0|     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      640      640 |       1        1        1       12      320      320 |  33177600 |
    3|TIDL_ConvolutionLayer         |/0/backbone/backbone/stem/stem.1/act/Relu_output_0|     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1       12      320      320 |       1        1        1       32      320      320 | 353894400 |
    4|TIDL_ConvolutionLayer         |/backbone/backbone/dark2/dark2.0/act/Relu_output_0|     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      320      320 |       1        1        1       64      160      160 | 471859200 |
    5|TIDL_ConvolutionLayer         |one/backbone/dark2/dark2.1/conv1/act/Relu_output_0|     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1        1        1       64      160      160 |       1        1        1       32      160      160 |  52428800 |
    6|TIDL_ConvolutionLayer         |one/backbone/dark2/dark2.1/conv2/act/Relu_output_0|     0|     1|     1|  4   x   x   x   x   x   x   x |  6       |       1        1        1       64      160      160 |       1        1        1       32      160      160 |  52428800 |
    7|TIDL_ConvolutionLayer         |ckbone/dark2/dark2.1/m/m.0/conv1/act/Relu_output_0|     0|     1|     1|  5   x   x   x   x   x   x   x |  7       |       1        1        1       32      160      160 |       1        1        1       32      160      160 |  26214400 |
    8|TIDL_ConvolutionLayer         |ckbone/dark2/dark2.1/m/m.0/conv2/act/Relu_output_0|     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1        1        1       32      160      160 |       1        1        1       32      160      160 | 235929600 |
    9|TIDL_EltWiseLayer             |backbone/backbone/dark2/dark2.1/m/m.0/Add_output_0|     0|     2|     1|  8   5   x   x   x   x   x   x |  9       |       1        1        1       32      160      160 |       1        1        1       32      160      160 |    819200 |
   10|TIDL_ConcatLayer              |/0/backbone/backbone/dark2/dark2.1/Concat_output_0|     0|     2|     1|  9   6   x   x   x   x   x   x | 10       |       1        1        1       32      160      160 |       1        1        1       64      160      160 |   1638400 |
   11|TIDL_ConvolutionLayer         |one/backbone/dark2/dark2.1/conv3/act/Relu_output_0|     0|     1|     1| 10   x   x   x   x   x   x   x | 11       |       1        1        1       64      160      160 |       1        1        1       64      160      160 | 104857600 |
   12|TIDL_ConvolutionLayer         |/backbone/backbone/dark3/dark3.0/act/Relu_output_0|     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1        1        1       64      160      160 |       1        1        1      128       80       80 | 471859200 |
   13|TIDL_ConvolutionLayer         |one/backbone/dark3/dark3.1/conv1/act/Relu_output_0|     0|     1|     1| 12   x   x   x   x   x   x   x | 13       |       1        1        1      128       80       80 |       1        1        1       64       80       80 |  52428800 |
   14|TIDL_ConvolutionLayer         |one/backbone/dark3/dark3.1/conv2/act/Relu_output_0|     0|     1|     1| 12   x   x   x   x   x   x   x | 14       |       1        1        1      128       80       80 |       1        1        1       64       80       80 |  52428800 |
   15|TIDL_ConvolutionLayer         |ckbone/dark3/dark3.1/m/m.0/conv1/act/Relu_output_0|     0|     1|     1| 13   x   x   x   x   x   x   x | 15       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |  26214400 |
   16|TIDL_ConvolutionLayer         |ckbone/dark3/dark3.1/m/m.0/conv2/act/Relu_output_0|     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1        1        1       64       80       80 |       1        1        1       64       80       80 | 235929600 |
   17|TIDL_EltWiseLayer             |backbone/backbone/dark3/dark3.1/m/m.0/Add_output_0|     0|     2|     1| 16  13   x   x   x   x   x   x | 17       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |    409600 |
   18|TIDL_ConvolutionLayer         |ckbone/dark3/dark3.1/m/m.1/conv1/act/Relu_output_0|     0|     1|     1| 17   x   x   x   x   x   x   x | 18       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |  26214400 |
   19|TIDL_ConvolutionLayer         |ckbone/dark3/dark3.1/m/m.1/conv2/act/Relu_output_0|     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1        1        1       64       80       80 |       1        1        1       64       80       80 | 235929600 |
   20|TIDL_EltWiseLayer             |backbone/backbone/dark3/dark3.1/m/m.1/Add_output_0|     0|     2|     1| 19  17   x   x   x   x   x   x | 20       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |    409600 |
   21|TIDL_ConvolutionLayer         |ckbone/dark3/dark3.1/m/m.2/conv1/act/Relu_output_0|     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |  26214400 |
   22|TIDL_ConvolutionLayer         |ckbone/dark3/dark3.1/m/m.2/conv2/act/Relu_output_0|     0|     1|     1| 21   x   x   x   x   x   x   x | 22       |       1        1        1       64       80       80 |       1        1        1       64       80       80 | 235929600 |
   23|TIDL_EltWiseLayer             |backbone/backbone/dark3/dark3.1/m/m.2/Add_output_0|     0|     2|     1| 22  20   x   x   x   x   x   x | 23       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |    409600 |
   24|TIDL_ConcatLayer              |/0/backbone/backbone/dark3/dark3.1/Concat_output_0|     0|     2|     1| 23  14   x   x   x   x   x   x | 24       |       1        1        1       64       80       80 |       1        1        1      128       80       80 |    819200 |
   25|TIDL_ConvolutionLayer         |one/backbone/dark3/dark3.1/conv3/act/Relu_output_0|     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1        1        1      128       80       80 |       1        1        1      128       80       80 | 104857600 |
   26|TIDL_ConvolutionLayer         |/backbone/backbone/dark4/dark4.0/act/Relu_output_0|     0|     1|     1| 25   x   x   x   x   x   x   x | 26       |       1        1        1      128       80       80 |       1        1        1      256       40       40 | 471859200 |
   27|TIDL_ConvolutionLayer         |one/backbone/dark4/dark4.1/conv1/act/Relu_output_0|     0|     1|     1| 26   x   x   x   x   x   x   x | 27       |       1        1        1      256       40       40 |       1        1        1      128       40       40 |  52428800 |
   28|TIDL_ConvolutionLayer         |one/backbone/dark4/dark4.1/conv2/act/Relu_output_0|     0|     1|     1| 26   x   x   x   x   x   x   x | 28       |       1        1        1      256       40       40 |       1        1        1      128       40       40 |  52428800 |
   29|TIDL_ConvolutionLayer         |ckbone/dark4/dark4.1/m/m.0/conv1/act/Relu_output_0|     0|     1|     1| 27   x   x   x   x   x   x   x | 29       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |  26214400 |
   30|TIDL_ConvolutionLayer         |ckbone/dark4/dark4.1/m/m.0/conv2/act/Relu_output_0|     0|     1|     1| 29   x   x   x   x   x   x   x | 30       |       1        1        1      128       40       40 |       1        1        1      128       40       40 | 235929600 |
   31|TIDL_EltWiseLayer             |backbone/backbone/dark4/dark4.1/m/m.0/Add_output_0|     0|     2|     1| 30  27   x   x   x   x   x   x | 31       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |    204800 |
   32|TIDL_ConvolutionLayer         |ckbone/dark4/dark4.1/m/m.1/conv1/act/Relu_output_0|     0|     1|     1| 31   x   x   x   x   x   x   x | 32       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |  26214400 |
   33|TIDL_ConvolutionLayer         |ckbone/dark4/dark4.1/m/m.1/conv2/act/Relu_output_0|     0|     1|     1| 32   x   x   x   x   x   x   x | 33       |       1        1        1      128       40       40 |       1        1        1      128       40       40 | 235929600 |
   34|TIDL_EltWiseLayer             |backbone/backbone/dark4/dark4.1/m/m.1/Add_output_0|     0|     2|     1| 33  31   x   x   x   x   x   x | 34       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |    204800 |
   35|TIDL_ConvolutionLayer         |ckbone/dark4/dark4.1/m/m.2/conv1/act/Relu_output_0|     0|     1|     1| 34   x   x   x   x   x   x   x | 35       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |  26214400 |
   36|TIDL_ConvolutionLayer         |ckbone/dark4/dark4.1/m/m.2/conv2/act/Relu_output_0|     0|     1|     1| 35   x   x   x   x   x   x   x | 36       |       1        1        1      128       40       40 |       1        1        1      128       40       40 | 235929600 |
   37|TIDL_EltWiseLayer             |backbone/backbone/dark4/dark4.1/m/m.2/Add_output_0|     0|     2|     1| 36  34   x   x   x   x   x   x | 37       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |    204800 |
   38|TIDL_ConcatLayer              |/0/backbone/backbone/dark4/dark4.1/Concat_output_0|     0|     2|     1| 37  28   x   x   x   x   x   x | 38       |       1        1        1      128       40       40 |       1        1        1      256       40       40 |    409600 |
   39|TIDL_ConvolutionLayer         |one/backbone/dark4/dark4.1/conv3/act/Relu_output_0|     0|     1|     1| 38   x   x   x   x   x   x   x | 39       |       1        1        1      256       40       40 |       1        1        1      256       40       40 | 104857600 |
   40|TIDL_ConvolutionLayer         |/backbone/backbone/dark5/dark5.0/act/Relu_output_0|     0|     1|     1| 39   x   x   x   x   x   x   x | 40       |       1        1        1      256       40       40 |       1        1        1      512       20       20 | 471859200 |
   41|TIDL_ConvolutionLayer         |one/backbone/dark5/dark5.1/conv1/act/Relu_output_0|     0|     1|     1| 40   x   x   x   x   x   x   x | 41       |       1        1        1      512       20       20 |       1        1        1      256       20       20 |  52428800 |
   42|TIDL_PoolingLayer             |/backbone/dark5/dark5.1/m.2/m.2.0/MaxPool_output_0|     0|     1|     1| 41   x   x   x   x   x   x   x | 42       |       1        1        1      256       20       20 |       1        1        1      256       20       20 |    921600 |
   43|TIDL_PoolingLayer             |ackbone/dark5/dark5.1/m.2/m.2.0_1/MaxPool_output_0|     0|     1|     1| 42   x   x   x   x   x   x   x | 43       |       1        1        1      256       20       20 |       1        1        1      256       20       20 |    921600 |
   44|TIDL_PoolingLayer             |ackbone/dark5/dark5.1/m.2/m.2.0_2/MaxPool_output_0|     0|     1|     1| 43   x   x   x   x   x   x   x | 44       |       1        1        1      256       20       20 |       1        1        1      256       20       20 |    921600 |
   45|TIDL_PoolingLayer             |ackbone/dark5/dark5.1/m.2/m.2.0_3/MaxPool_output_0|     0|     1|     1| 44   x   x   x   x   x   x   x | 45       |       1        1        1      256       20       20 |       1        1        1      256       20       20 |    921600 |
   46|TIDL_PoolingLayer             |ackbone/dark5/dark5.1/m.2/m.2.0_4/MaxPool_output_0|     0|     1|     1| 45   x   x   x   x   x   x   x | 46       |       1        1        1      256       20       20 |       1        1        1      256       20       20 |    921600 |
   47|TIDL_PoolingLayer             |ackbone/dark5/dark5.1/m.2/m.2.0_5/MaxPool_output_0|     0|     1|     1| 46   x   x   x   x   x   x   x | 47       |       1        1        1      256       20       20 |       1        1        1      256       20       20 |    921600 |
   48|TIDL_ConcatLayer              |/0/backbone/backbone/dark5/dark5.1/Concat_output_0|     0|     4|     1| 41  43  45  47   x   x   x   x | 48       |       1        1        1      256       20       20 |       1        1        1     1024       20       20 |    409600 |
   49|TIDL_ConvolutionLayer         |one/backbone/dark5/dark5.1/conv2/act/Relu_output_0|     0|     1|     1| 48   x   x   x   x   x   x   x | 49       |       1        1        1     1024       20       20 |       1        1        1      512       20       20 | 209715200 |
   50|TIDL_ConvolutionLayer         |one/backbone/dark5/dark5.2/conv1/act/Relu_output_0|     0|     1|     1| 49   x   x   x   x   x   x   x | 50       |       1        1        1      512       20       20 |       1        1        1      256       20       20 |  52428800 |
   51|TIDL_ConvolutionLayer         |one/backbone/dark5/dark5.2/conv2/act/Relu_output_0|     0|     1|     1| 49   x   x   x   x   x   x   x | 51       |       1        1        1      512       20       20 |       1        1        1      256       20       20 |  52428800 |
   52|TIDL_ConvolutionLayer         |ckbone/dark5/dark5.2/m/m.0/conv1/act/Relu_output_0|     0|     1|     1| 50   x   x   x   x   x   x   x | 52       |       1        1        1      256       20       20 |       1        1        1      256       20       20 |  26214400 |
   53|TIDL_ConvolutionLayer         |ckbone/dark5/dark5.2/m/m.0/conv2/act/Relu_output_0|     0|     1|     1| 52   x   x   x   x   x   x   x | 53       |       1        1        1      256       20       20 |       1        1        1      256       20       20 | 235929600 |
   54|TIDL_ConcatLayer              |/0/backbone/backbone/dark5/dark5.2/Concat_output_0|     0|     2|     1| 53  51   x   x   x   x   x   x | 54       |       1        1        1      256       20       20 |       1        1        1      512       20       20 |    204800 |
   55|TIDL_ConvolutionLayer         |one/backbone/dark5/dark5.2/conv3/act/Relu_output_0|     0|     1|     1| 54   x   x   x   x   x   x   x | 55       |       1        1        1      512       20       20 |       1        1        1      512       20       20 | 104857600 |
   56|TIDL_ConvolutionLayer         |/0/backbone/lateral_conv0/act/Relu_output_0       |     0|     1|     1| 55   x   x   x   x   x   x   x | 56       |       1        1        1      512       20       20 |       1        1        1      256       20       20 |  52428800 |
   57|TIDL_ResizeLayer              |/0/backbone/upsample/Resize_output_0              |     0|     1|     1| 56   x   x   x   x   x   x   x | 57       |       1        1        1      256       20       20 |       1        1        1      256       40       40 |   1638400 |
   58|TIDL_ConcatLayer              |/0/backbone/Concat_output_0                       |     0|     2|     1| 57  39   x   x   x   x   x   x | 58       |       1        1        1      256       40       40 |       1        1        1      512       40       40 |    819200 |
   59|TIDL_ConvolutionLayer         |/0/backbone/C3_p4/conv1/act/Relu_output_0         |     0|     1|     1| 58   x   x   x   x   x   x   x | 59       |       1        1        1      512       40       40 |       1        1        1      128       40       40 | 104857600 |
   60|TIDL_ConvolutionLayer         |/0/backbone/C3_p4/conv2/act/Relu_output_0         |     0|     1|     1| 58   x   x   x   x   x   x   x | 60       |       1        1        1      512       40       40 |       1        1        1      128       40       40 | 104857600 |
   61|TIDL_ConvolutionLayer         |/0/backbone/C3_p4/m/m.0/conv1/act/Relu_output_0   |     0|     1|     1| 59   x   x   x   x   x   x   x | 61       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |  26214400 |
   62|TIDL_ConvolutionLayer         |/0/backbone/C3_p4/m/m.0/conv2/act/Relu_output_0   |     0|     1|     1| 61   x   x   x   x   x   x   x | 62       |       1        1        1      128       40       40 |       1        1        1      128       40       40 | 235929600 |
   63|TIDL_ConcatLayer              |/0/backbone/C3_p4/Concat_output_0                 |     0|     2|     1| 62  60   x   x   x   x   x   x | 63       |       1        1        1      128       40       40 |       1        1        1      256       40       40 |    409600 |
   64|TIDL_ConvolutionLayer         |/0/backbone/C3_p4/conv3/act/Relu_output_0         |     0|     1|     1| 63   x   x   x   x   x   x   x | 64       |       1        1        1      256       40       40 |       1        1        1      256       40       40 | 104857600 |
   65|TIDL_ConvolutionLayer         |/0/backbone/reduce_conv1/act/Relu_output_0        |     0|     1|     1| 64   x   x   x   x   x   x   x | 65       |       1        1        1      256       40       40 |       1        1        1      128       40       40 |  52428800 |
   66|TIDL_ResizeLayer              |/0/backbone/upsample_1/Resize_output_0            |     0|     1|     1| 65   x   x   x   x   x   x   x | 66       |       1        1        1      128       40       40 |       1        1        1      128       80       80 |   3276800 |
   67|TIDL_ConcatLayer              |/0/backbone/Concat_1_output_0                     |     0|     2|     1| 66  25   x   x   x   x   x   x | 67       |       1        1        1      128       80       80 |       1        1        1      256       80       80 |   1638400 |
   68|TIDL_ConvolutionLayer         |/0/backbone/C3_p3/conv1/act/Relu_output_0         |     0|     1|     1| 67   x   x   x   x   x   x   x | 68       |       1        1        1      256       80       80 |       1        1        1       64       80       80 | 104857600 |
   69|TIDL_ConvolutionLayer         |/0/backbone/C3_p3/conv2/act/Relu_output_0         |     0|     1|     1| 67   x   x   x   x   x   x   x | 69       |       1        1        1      256       80       80 |       1        1        1       64       80       80 | 104857600 |
   70|TIDL_ConvolutionLayer         |/0/backbone/C3_p3/m/m.0/conv1/act/Relu_output_0   |     0|     1|     1| 68   x   x   x   x   x   x   x | 70       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |  26214400 |
   71|TIDL_ConvolutionLayer         |/0/backbone/C3_p3/m/m.0/conv2/act/Relu_output_0   |     0|     1|     1| 70   x   x   x   x   x   x   x | 71       |       1        1        1       64       80       80 |       1        1        1       64       80       80 | 235929600 |
   72|TIDL_ConcatLayer              |/0/backbone/C3_p3/Concat_output_0                 |     0|     2|     1| 71  69   x   x   x   x   x   x | 72       |       1        1        1       64       80       80 |       1        1        1      128       80       80 |    819200 |
   73|TIDL_ConvolutionLayer         |/0/backbone/C3_p3/conv3/act/Relu_output_0         |     0|     1|     1| 72   x   x   x   x   x   x   x | 73       |       1        1        1      128       80       80 |       1        1        1      128       80       80 | 104857600 |
   74|TIDL_ConvolutionLayer         |/0/backbone/bu_conv2/act/Relu_output_0            |     0|     1|     1| 73   x   x   x   x   x   x   x | 74       |       1        1        1      128       80       80 |       1        1        1      128       40       40 | 235929600 |
