Num of Layer Detected : 122 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |TIDL_cast_in                                      |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      640      640 |   1228800 |
    1|TIDL_DataConvertLayer         |TIDL_cast_in_netFormat                            |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      640      640 |       1        1        1        3      640      640 |   1228800 |
    2|TIDL_ConvolutionLayer         |1033                                              |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      640      640 |       1        1        1       12      320      320 |  33177600 |
    3|TIDL_ConvolutionLayer         |473                                               |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1       12      320      320 |       1        1        1       32      320      320 | 353894400 |
    4|TIDL_ConvolutionLayer         |476                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      320      320 |       1        1        1       64      160      160 | 471859200 |
    5|TIDL_ConvolutionLayer         |482                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1        1        1       64      160      160 |       1        1        1       32      160      160 |  52428800 |
    6|TIDL_ConvolutionLayer         |479                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  6       |       1        1        1       64      160      160 |       1        1        1       32      160      160 |  52428800 |
    7|TIDL_ConvolutionLayer         |485                                               |     0|     1|     1|  5   x   x   x   x   x   x   x |  7       |       1        1        1       32      160      160 |       1        1        1       32      160      160 |  26214400 |
    8|TIDL_ConvolutionLayer         |488                                               |     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1        1        1       32      160      160 |       1        1        1       32      160      160 | 235929600 |
    9|TIDL_EltWiseLayer             |489                                               |     0|     2|     1|  8   5   x   x   x   x   x   x |  9       |       1        1        1       32      160      160 |       1        1        1       32      160      160 |    819200 |
   10|TIDL_ConcatLayer              |490                                               |     0|     2|     1|  9   6   x   x   x   x   x   x | 10       |       1        1        1       32      160      160 |       1        1        1       64      160      160 |   1638400 |
   11|TIDL_ConvolutionLayer         |493                                               |     0|     1|     1| 10   x   x   x   x   x   x   x | 11       |       1        1        1       64      160      160 |       1        1        1       64      160      160 | 104857600 |
   12|TIDL_ConvolutionLayer         |496                                               |     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1        1        1       64      160      160 |       1        1        1      128       80       80 | 471859200 |
   13|TIDL_ConvolutionLayer         |502                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 13       |       1        1        1      128       80       80 |       1        1        1       64       80       80 |  52428800 |
   14|TIDL_ConvolutionLayer         |499                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 14       |       1        1        1      128       80       80 |       1        1        1       64       80       80 |  52428800 |
   15|TIDL_ConvolutionLayer         |505                                               |     0|     1|     1| 13   x   x   x   x   x   x   x | 15       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |  26214400 |
   16|TIDL_ConvolutionLayer         |508                                               |     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1        1        1       64       80       80 |       1        1        1       64       80       80 | 235929600 |
   17|TIDL_EltWiseLayer             |509                                               |     0|     2|     1| 16  13   x   x   x   x   x   x | 17       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |    409600 |
   18|TIDL_ConvolutionLayer         |512                                               |     0|     1|     1| 17   x   x   x   x   x   x   x | 18       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |  26214400 |
   19|TIDL_ConvolutionLayer         |515                                               |     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1        1        1       64       80       80 |       1        1        1       64       80       80 | 235929600 |
   20|TIDL_EltWiseLayer             |516                                               |     0|     2|     1| 19  17   x   x   x   x   x   x | 20       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |    409600 |
   21|TIDL_ConvolutionLayer         |519                                               |     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |  26214400 |
   22|TIDL_ConvolutionLayer         |522                                               |     0|     1|     1| 21   x   x   x   x   x   x   x | 22       |       1        1        1       64       80       80 |       1        1        1       64       80       80 | 235929600 |
   23|TIDL_EltWiseLayer             |523                                               |     0|     2|     1| 22  20   x   x   x   x   x   x | 23       |       1        1        1       64       80       80 |       1        1        1       64       80       80 |    409600 |
   24|TIDL_ConcatLayer              |524                                               |     0|     2|     1| 23  14   x   x   x   x   x   x | 24       |       1        1        1       64       80       80 |       1        1        1      128       80       80 |    819200 |
   25|TIDL_ConvolutionLayer         |527                                               |     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1        1        1      128       80       80 |       1        1        1      128       80       80 | 104857600 |
   26|TIDL_ConvolutionLayer         |530                                               |     0|     1|     1| 25   x   x   x   x   x   x   x | 26       |       1        1        1      128       80       80 |       1        1        1      256       40       40 | 471859200 |
   27|TIDL_ConvolutionLayer         |536                                               |     0|     1|     1| 26   x   x   x   x   x   x   x | 27       |       1        1        1      256       40       40 |       1        1        1      128       40       40 |  52428800 |
   28|TIDL_ConvolutionLayer         |533                                               |     0|     1|     1| 26   x   x   x   x   x   x   x | 28       |       1        1        1      256       40       40 |       1        1        1      128       40       40 |  52428800 |
   29|TIDL_ConvolutionLayer         |539                                               |     0|     1|     1| 27   x   x   x   x   x   x   x | 29       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |  26214400 |
   30|TIDL_ConvolutionLayer         |542                                               |     0|     1|     1| 29   x   x   x   x   x   x   x | 30       |       1        1        1      128       40       40 |       1        1        1      128       40       40 | 235929600 |
   31|TIDL_EltWiseLayer             |543                                               |     0|     2|     1| 30  27   x   x   x   x   x   x | 31       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |    204800 |
   32|TIDL_ConvolutionLayer         |546                                               |     0|     1|     1| 31   x   x   x   x   x   x   x | 32       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |  26214400 |
   33|TIDL_ConvolutionLayer         |549                                               |     0|     1|     1| 32   x   x   x   x   x   x   x | 33       |       1        1        1      128       40       40 |       1        1        1      128       40       40 | 235929600 |
   34|TIDL_EltWiseLayer             |550                                               |     0|     2|     1| 33  31   x   x   x   x   x   x | 34       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |    204800 |
   35|TIDL_ConvolutionLayer         |553                                               |     0|     1|     1| 34   x   x   x   x   x   x   x | 35       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |  26214400 |
   36|TIDL_ConvolutionLayer         |556                                               |     0|     1|     1| 35   x   x   x   x   x   x   x | 36       |       1        1        1      128       40       40 |       1        1        1      128       40       40 | 235929600 |
   37|TIDL_EltWiseLayer             |557                                               |     0|     2|     1| 36  34   x   x   x   x   x   x | 37       |       1        1        1      128       40       40 |       1        1        1      128       40       40 |    204800 |
   38|TIDL_ConcatLayer              |558                                               |     0|     2|     1| 37  28   x   x   x   x   x   x | 38       |       1        1        1      128       40       40 |       1        1        1      256       40       40 |    409600 |
   39|TIDL_ConvolutionLayer         |561                                               |     0|     1|     1| 38   x   x   x   x   x   x   x | 39       |       1        1        1      256       40       40 |       1        1        1      256       40       40 | 104857600 |
