Num of Layer Detected :  81 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |x.1                                               |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      432      768 |         0 |
    1|TIDL_DataConvertLayer         |x.1_netFormat                                     |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      432      768 |       1        1        1        3      432      768 |    995328 |
    2|TIDL_BatchNormLayer           |522                                               |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      432      768 |       1        1        1        3      432      768 |    995328 |
    3|TIDL_ConvolutionLayer         |529                                               |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1        3      432      768 |       1        1        1       32      216      384 |  71663616 |
    4|TIDL_ConvolutionLayer         |536                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      216      384 |       1        1        1       32      216      384 |  23887872 |
    5|TIDL_ConvolutionLayer         |543                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1        1        1       32      216      384 |       1        1        1       16      216      384 |  42467328 |
    6|TIDL_ConvolutionLayer         |550                                               |     0|     1|     1|  5   x   x   x   x   x   x   x |  6       |       1        1        1       16      216      384 |       1        1        1       96      216      384 | 127401984 |
    7|TIDL_ConvolutionLayer         |557                                               |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1        1        1       96      216      384 |       1        1        1       96      108      192 |  17915904 |
    8|TIDL_ConvolutionLayer         |564                                               |     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1        1        1       96      108      192 |       1        1        1       24      108      192 |  47775744 |
    9|TIDL_ConvolutionLayer         |571                                               |     0|     1|     1|  8   x   x   x   x   x   x   x |  9       |       1        1        1       24      108      192 |       1        1        1      144      108      192 |  71663616 |
   10|TIDL_ConvolutionLayer         |578                                               |     0|     1|     1|  9   x   x   x   x   x   x   x | 10       |       1        1        1      144      108      192 |       1        1        1      144      108      192 |  26873856 |
   11|TIDL_ConvolutionLayer         |585                                               |     0|     1|     1| 10   x   x   x   x   x   x   x | 11       |       1        1        1      144      108      192 |       1        1        1       24      108      192 |  71663616 |
   12|TIDL_EltWiseLayer             |591                                               |     0|     2|     1|  8  11   x   x   x   x   x   x | 12       |       1        1        1       24      108      192 |       1        1        1       24      108      192 |    497664 |
   13|TIDL_ConvolutionLayer         |598                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 13       |       1        1        1       24      108      192 |       1        1        1      144      108      192 |  71663616 |
   14|TIDL_ConvolutionLayer         |946                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 14       |       1        1        1       24      108      192 |       1        1        1       48      108      192 |  23887872 |
   15|TIDL_ConvolutionLayer         |605                                               |     0|     1|     1| 13   x   x   x   x   x   x   x | 15       |       1        1        1      144      108      192 |       1        1        1      144       54       96 |   6718464 |
   16|TIDL_ConvolutionLayer         |612                                               |     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1        1        1      144       54       96 |       1        1        1       32       54       96 |  23887872 |
   17|TIDL_ConvolutionLayer         |619                                               |     0|     1|     1| 16   x   x   x   x   x   x   x | 17       |       1        1        1       32       54       96 |       1        1        1      192       54       96 |  31850496 |
   18|TIDL_ConvolutionLayer         |626                                               |     0|     1|     1| 17   x   x   x   x   x   x   x | 18       |       1        1        1      192       54       96 |       1        1        1      192       54       96 |   8957952 |
   19|TIDL_ConvolutionLayer         |633                                               |     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1        1        1      192       54       96 |       1        1        1       32       54       96 |  31850496 |
   20|TIDL_EltWiseLayer             |639                                               |     0|     2|     1| 16  19   x   x   x   x   x   x | 20       |       1        1        1       32       54       96 |       1        1        1       32       54       96 |    165888 |
   21|TIDL_ConvolutionLayer         |646                                               |     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1        1        1       32       54       96 |       1        1        1      192       54       96 |  31850496 |
   22|TIDL_ConvolutionLayer         |653                                               |     0|     1|     1| 21   x   x   x   x   x   x   x | 22       |       1        1        1      192       54       96 |       1        1        1      192       54       96 |   8957952 |
   23|TIDL_ConvolutionLayer         |660                                               |     0|     1|     1| 22   x   x   x   x   x   x   x | 23       |       1        1        1      192       54       96 |       1        1        1       32       54       96 |  31850496 |
   24|TIDL_EltWiseLayer             |666                                               |     0|     2|     1| 20  23   x   x   x   x   x   x | 24       |       1        1        1       32       54       96 |       1        1        1       32       54       96 |    165888 |
   25|TIDL_ConvolutionLayer         |673                                               |     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1        1        1       32       54       96 |       1        1        1      192       54       96 |  31850496 |
   26|TIDL_ConvolutionLayer         |680                                               |     0|     1|     1| 25   x   x   x   x   x   x   x | 26       |       1        1        1      192       54       96 |       1        1        1      192       27       48 |   2239488 |
   27|TIDL_ConvolutionLayer         |687                                               |     0|     1|     1| 26   x   x   x   x   x   x   x | 27       |       1        1        1      192       27       48 |       1        1        1       64       27       48 |  15925248 |
   28|TIDL_ConvolutionLayer         |694                                               |     0|     1|     1| 27   x   x   x   x   x   x   x | 28       |       1        1        1       64       27       48 |       1        1        1      384       27       48 |  31850496 |
   29|TIDL_ConvolutionLayer         |701                                               |     0|     1|     1| 28   x   x   x   x   x   x   x | 29       |       1        1        1      384       27       48 |       1        1        1      384       27       48 |   4478976 |
   30|TIDL_ConvolutionLayer         |708                                               |     0|     1|     1| 29   x   x   x   x   x   x   x | 30       |       1        1        1      384       27       48 |       1        1        1       64       27       48 |  31850496 |
   31|TIDL_EltWiseLayer             |714                                               |     0|     2|     1| 27  30   x   x   x   x   x   x | 31       |       1        1        1       64       27       48 |       1        1        1       64       27       48 |     82944 |
   32|TIDL_ConvolutionLayer         |721                                               |     0|     1|     1| 31   x   x   x   x   x   x   x | 32       |       1        1        1       64       27       48 |       1        1        1      384       27       48 |  31850496 |
