Num of Layer Detected : 107 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |TIDL_cast_in                                      |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      384      384 |    442368 |
    1|TIDL_DataConvertLayer         |TIDL_cast_in_netFormat                            |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      384      384 |       1        1        1        3      384      384 |    442368 |
    2|TIDL_BatchNormLayer           |input.1                                           |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      384      384 |       1        1        1        3      384      384 |    442368 |
    3|TIDL_ConvolutionLayer         |538                                               |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1        3      384      384 |       1        1        1       32      192      192 |  31850496 |
    4|TIDL_ConvolutionLayer         |541                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      192      192 |       1        1        1       32      192      192 |  37748736 |
    5|TIDL_ConvolutionLayer         |853                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  5       |       1        1        1       32      192      192 |       1        1        1       32       96       96 |   9437184 |
    6|TIDL_ConvolutionLayer         |544                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  6       |       1        1        1       32      192      192 |       1        1        1       32       96       96 |  42467328 |
    7|TIDL_ConvolutionLayer         |850                                               |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1        1        1       32       96       96 |       1        1        1       32       96       96 |   9437184 |
    8|TIDL_EltWiseLayer             |550                                               |     0|     2|     1|  7   5   x   x   x   x   x   x |  8       |       1        1        1       32       96       96 |       1        1        1       32       96       96 |    294912 |
    9|TIDL_ConvolutionLayer         |553                                               |     0|     1|     1|  8   x   x   x   x   x   x   x |  9       |       1        1        1       32       96       96 |       1        1        1       64       96       96 |  18874368 |
   10|TIDL_ConvolutionLayer         |865                                               |     0|     1|     1|  8   x   x   x   x   x   x   x | 10       |       1        1        1       32       96       96 |       1        1        1       64       48       48 |   4718592 |
   11|TIDL_ConvolutionLayer         |824_netFormat                                     |     0|     1|     1|  8   x   x   x   x   x   x   x | 11       |       1        1        1       32       96       96 |       1        1        1      256       96       96 |  75497472 |
   12|TIDL_ConvolutionLayer         |556                                               |     0|     1|     1|  9   x   x   x   x   x   x   x | 12       |       1        1        1       64       96       96 |       1        1        1       64       48       48 |  21233664 |
   13|TIDL_DataConvertLayer         |824                                               |     0|     1|     1| 11   x   x   x   x   x   x   x | 13       |       1        1        1      256       96       96 |       1        1        1      256       96       96 |   2359296 |
   14|TIDL_ConvolutionLayer         |862                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 14       |       1        1        1       64       48       48 |       1        1        1       64       48       48 |   9437184 |
   15|TIDL_DataLayer                |824                                               |     0|     1|    -1| 13   x   x   x   x   x   x   x |  0       |       1        1        1      256       96       96 |       0        0        0        0        0        0 |         0 |
   16|TIDL_EltWiseLayer             |562                                               |     0|     2|     1| 14  10   x   x   x   x   x   x | 16       |       1        1        1       64       48       48 |       1        1        1       64       48       48 |    147456 |
   17|TIDL_ConvolutionLayer         |565                                               |     0|     1|     1| 16   x   x   x   x   x   x   x | 17       |       1        1        1       64       48       48 |       1        1        1       64       48       48 |   9437184 |
   18|TIDL_ConvolutionLayer         |568                                               |     0|     1|     1| 17   x   x   x   x   x   x   x | 18       |       1        1        1       64       48       48 |       1        1        1       64       48       48 |  21233664 |
   19|TIDL_ConvolutionLayer         |874                                               |     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1        1        1       64       48       48 |       1        1        1       64       48       48 |   9437184 |
   20|TIDL_EltWiseLayer             |572                                               |     0|     2|     1| 19  16   x   x   x   x   x   x | 20       |       1        1        1       64       48       48 |       1        1        1       64       48       48 |    147456 |
   21|TIDL_ConvolutionLayer         |575                                               |     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1        1        1       64       48       48 |       1        1        1      160       48       48 |  23592960 |
   22|TIDL_ConvolutionLayer         |886                                               |     0|     1|     1| 20   x   x   x   x   x   x   x | 22       |       1        1        1       64       48       48 |       1        1        1      160       24       24 |   5898240 |
   23|TIDL_ConvolutionLayer         |809_netFormat                                     |     0|     1|     1| 20   x   x   x   x   x   x   x | 23       |       1        1        1       64       48       48 |       1        1        1      256       48       48 |  37748736 |
   24|TIDL_ConvolutionLayer         |578                                               |     0|     1|     1| 21   x   x   x   x   x   x   x | 24       |       1        1        1      160       48       48 |       1        1        1      160       24       24 |  13271040 |
   25|TIDL_DataConvertLayer         |809                                               |     0|     1|     1| 23   x   x   x   x   x   x   x | 25       |       1        1        1      256       48       48 |       1        1        1      256       48       48 |    589824 |
   26|TIDL_ConvolutionLayer         |883                                               |     0|     1|     1| 24   x   x   x   x   x   x   x | 26       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   27|TIDL_DataLayer                |809                                               |     0|     1|    -1| 25   x   x   x   x   x   x   x |  0       |       1        1        1      256       48       48 |       0        0        0        0        0        0 |         0 |
   28|TIDL_EltWiseLayer             |584                                               |     0|     2|     1| 26  22   x   x   x   x   x   x | 28       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |     92160 |
   29|TIDL_ConvolutionLayer         |587                                               |     0|     1|     1| 28   x   x   x   x   x   x   x | 29       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   30|TIDL_ConvolutionLayer         |590                                               |     0|     1|     1| 29   x   x   x   x   x   x   x | 30       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  13271040 |
   31|TIDL_ConvolutionLayer         |895                                               |     0|     1|     1| 30   x   x   x   x   x   x   x | 31       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   32|TIDL_EltWiseLayer             |594                                               |     0|     2|     1| 31  28   x   x   x   x   x   x | 32       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |     92160 |
   33|TIDL_ConvolutionLayer         |597                                               |     0|     1|     1| 32   x   x   x   x   x   x   x | 33       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   34|TIDL_ConvolutionLayer         |600                                               |     0|     1|     1| 33   x   x   x   x   x   x   x | 34       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  13271040 |
   35|TIDL_ConvolutionLayer         |904                                               |     0|     1|     1| 34   x   x   x   x   x   x   x | 35       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   36|TIDL_EltWiseLayer             |604                                               |     0|     2|     1| 35  32   x   x   x   x   x   x | 36       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |     92160 |
   37|TIDL_ConvolutionLayer         |607                                               |     0|     1|     1| 36   x   x   x   x   x   x   x | 37       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   38|TIDL_ConvolutionLayer         |610                                               |     0|     1|     1| 37   x   x   x   x   x   x   x | 38       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  13271040 |
   39|TIDL_ConvolutionLayer         |913                                               |     0|     1|     1| 38   x   x   x   x   x   x   x | 39       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   40|TIDL_EltWiseLayer             |614                                               |     0|     2|     1| 39  36   x   x   x   x   x   x | 40       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |     92160 |
   41|TIDL_ConvolutionLayer         |617                                               |     0|     1|     1| 40   x   x   x   x   x   x   x | 41       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   42|TIDL_ConvolutionLayer         |620                                               |     0|     1|     1| 41   x   x   x   x   x   x   x | 42       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  13271040 |
   43|TIDL_ConvolutionLayer         |922                                               |     0|     1|     1| 42   x   x   x   x   x   x   x | 43       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   44|TIDL_EltWiseLayer             |624                                               |     0|     2|     1| 43  40   x   x   x   x   x   x | 44       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |     92160 |
   45|TIDL_ConvolutionLayer         |627                                               |     0|     1|     1| 44   x   x   x   x   x   x   x | 45       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
   46|TIDL_ConvolutionLayer         |630                                               |     0|     1|     1| 45   x   x   x   x   x   x   x | 46       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  13271040 |
   47|TIDL_ConvolutionLayer         |931                                               |     0|     1|     1| 46   x   x   x   x   x   x   x | 47       |       1        1        1      160       24       24 |       1        1        1      160       24       24 |  14745600 |
