Num of Layer Detected :  35 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |766                                               |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1      384       12       12 |         0 |
    1|TIDL_DataLayer                |1069                                              |     0|    -1|     1|  x   x   x   x   x   x   x   x |  1       |       0        0        0        0        0        0 |       1        1        1      384       12       12 |         0 |
    2|TIDL_DataLayer                |794                                               |     0|    -1|     1|  x   x   x   x   x   x   x   x |  2       |       0        0        0        0        0        0 |       1        1        1      256       24       24 |         0 |
    3|TIDL_DataLayer                |809                                               |     0|    -1|     1|  x   x   x   x   x   x   x   x |  3       |       0        0        0        0        0        0 |       1        1        1      256       48       48 |         0 |
    4|TIDL_DataLayer                |824                                               |     0|    -1|     1|  x   x   x   x   x   x   x   x |  4       |       0        0        0        0        0        0 |       1        1        1      256       96       96 |         0 |
    5|TIDL_DataConvertLayer         |766_netFormat                                     |     0|     1|     1|  0   x   x   x   x   x   x   x |  5       |       1        1        1      384       12       12 |       1        1        1      384       12       12 |     55296 |
    6|TIDL_DataConvertLayer         |1069_netFormat                                    |     0|     1|     1|  1   x   x   x   x   x   x   x |  6       |       1        1        1      384       12       12 |       1        1        1      384       12       12 |     55296 |
    7|TIDL_DataConvertLayer         |794_netFormat                                     |     0|     1|     1|  2   x   x   x   x   x   x   x |  7       |       1        1        1      256       24       24 |       1        1        1      256       24       24 |    147456 |
    8|TIDL_DataConvertLayer         |809_netFormat                                     |     0|     1|     1|  3   x   x   x   x   x   x   x |  8       |       1        1        1      256       48       48 |       1        1        1      256       48       48 |    589824 |
    9|TIDL_DataConvertLayer         |824_netFormat                                     |     0|     1|     1|  4   x   x   x   x   x   x   x |  9       |       1        1        1      256       96       96 |       1        1        1      256       96       96 |   2359296 |
