Num of Layer Detected : 121 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |Extractor/MobileDetDSP/Conv/Conv2D/Mul/Bias/InCast|     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      320      320 |    307200 |
    1|TIDL_DataConvertLayer         |MobileDetDSP/Conv/Conv2D/Mul/Bias/InCast_netFormat|     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      320      320 |       1        1        1        3      320      320 |    307200 |
    2|TIDL_BatchNormLayer           |nv2D;FeatureExtractor/MobileDetDSP/Conv/Conv2D/Mul|     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      320      320 |       1        1        1        3      320      320 |    307200 |
    3|TIDL_ConvolutionLayer         |2/Conv2D;FeatureExtractor/MobileDetDSP/Conv/Conv2D|     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1        3      320      320 |       1        1        1       32      160      160 |  22118400 |
    4|TIDL_ConvolutionLayer         |ureExtractor/MobileDetDSP/TuckerConv/Conv_2/Conv2D|     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      160      160 |       1        1        1       32      160      160 |   7372800 |
    5|TIDL_ConvolutionLayer         |Extractor/MobileDetDSP/IBNNoExpansion/Conv/Conv2D1|     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1        1        1       32      160      160 |       1        1        1       24      160      160 |  19660800 |
    6|TIDL_ConvolutionLayer         |eatureExtractor/MobileDetDSP/FusedConv/Conv/Conv2D|     0|     1|     1|  5   x   x   x   x   x   x   x |  6       |       1        1        1       24      160      160 |       1        1        1       96       80       80 | 132710400 |
    7|TIDL_ConvolutionLayer         |ureExtractor/MobileDetDSP/FusedConv/Conv_1/Conv2D1|     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1        1        1       96       80       80 |       1        1        1       32       80       80 |  19660800 |
    8|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_1/Conv/Conv2D|     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1        1        1       32       80       80 |       1        1        1      128       80       80 | 235929600 |
    9|TIDL_ConvolutionLayer         |eExtractor/MobileDetDSP/FusedConv_1/Conv_1/Conv2D1|     0|     1|     1|  8   x   x   x   x   x   x   x |  9       |       1        1        1      128       80       80 |       1        1        1       32       80       80 |  26214400 |
   10|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/FusedConv_1/add     |     0|     2|     1|  9   7   x   x   x   x   x   x | 10       |       1        1        1       32       80       80 |       1        1        1       32       80       80 |    204800 |
   11|TIDL_ConvolutionLayer         |wise;FeatureExtractor/MobileDetDSP/IBN/Conv/Conv2D|     0|     1|     1| 10   x   x   x   x   x   x   x | 11       |       1        1        1       32       80       80 |       1        1        1      128       80       80 |  26214400 |
   12|TIDL_ConvolutionLayer         |tractor/MobileDetDSP/IBN/SeparableConv2d/depthwise|     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1        1        1      128       80       80 |       1        1        1      128       80       80 |   7372800 |
   13|TIDL_ConvolutionLayer         |D;FeatureExtractor/MobileDetDSP/IBN/Conv_1/Conv2D1|     0|     1|     1| 12   x   x   x   x   x   x   x | 13       |       1        1        1      128       80       80 |       1        1        1       32       80       80 |  26214400 |
   14|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN/add             |     0|     2|     1| 13  10   x   x   x   x   x   x | 14       |       1        1        1       32       80       80 |       1        1        1       32       80       80 |    204800 |
   15|TIDL_ConvolutionLayer         |atureExtractor/MobileDetDSP/TuckerConv/Conv/Conv2D|     0|     1|     1| 14   x   x   x   x   x   x   x | 15       |       1        1        1       32       80       80 |       1        1        1        8       80       80 |   1638400 |
   16|TIDL_ConvolutionLayer         |ureExtractor/MobileDetDSP/TuckerConv/Conv_1/Conv2D|     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1        1        1        8       80       80 |       1        1        1       24       80       80 |  11059200 |
   17|TIDL_ConvolutionLayer         |reExtractor/MobileDetDSP/TuckerConv/Conv_2/Conv2D1|     0|     1|     1| 16   x   x   x   x   x   x   x | 17       |       1        1        1       24       80       80 |       1        1        1       32       80       80 |   4915200 |
   18|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/TuckerConv/add      |     0|     2|     1| 17  14   x   x   x   x   x   x | 18       |       1        1        1       32       80       80 |       1        1        1       32       80       80 |    204800 |
   19|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_2/Conv/Conv2D|     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1        1        1       32       80       80 |       1        1        1      256       40       40 | 117964800 |
   20|TIDL_ConvolutionLayer         |eExtractor/MobileDetDSP/FusedConv_2/Conv_1/Conv2D1|     0|     1|     1| 19   x   x   x   x   x   x   x | 20       |       1        1        1      256       40       40 |       1        1        1       64       40       40 |  26214400 |
   21|TIDL_ConvolutionLayer         |se;FeatureExtractor/MobileDetDSP/IBN_1/Conv/Conv2D|     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1        1        1       64       40       40 |       1        1        1      256       40       40 |  26214400 |
   22|TIDL_ConvolutionLayer         |actor/MobileDetDSP/IBN_1/SeparableConv2d/depthwise|     0|     1|     1| 21   x   x   x   x   x   x   x | 22       |       1        1        1      256       40       40 |       1        1        1      256       40       40 |   3686400 |
   23|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_1/Conv_1/Conv2D1|     0|     1|     1| 22   x   x   x   x   x   x   x | 23       |       1        1        1      256       40       40 |       1        1        1       64       40       40 |  26214400 |
   24|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN_1/add           |     0|     2|     1| 23  20   x   x   x   x   x   x | 24       |       1        1        1       64       40       40 |       1        1        1       64       40       40 |    102400 |
   25|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_3/Conv/Conv2D|     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1        1        1       64       40       40 |       1        1        1      256       40       40 | 235929600 |
   26|TIDL_ConvolutionLayer         |eExtractor/MobileDetDSP/FusedConv_3/Conv_1/Conv2D1|     0|     1|     1| 25   x   x   x   x   x   x   x | 26       |       1        1        1      256       40       40 |       1        1        1       64       40       40 |  26214400 |
   27|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/FusedConv_3/add     |     0|     2|     1| 26  24   x   x   x   x   x   x | 27       |       1        1        1       64       40       40 |       1        1        1       64       40       40 |    102400 |
   28|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_4/Conv/Conv2D|     0|     1|     1| 27   x   x   x   x   x   x   x | 28       |       1        1        1       64       40       40 |       1        1        1      256       40       40 | 235929600 |
   29|TIDL_ConvolutionLayer         |eExtractor/MobileDetDSP/FusedConv_4/Conv_1/Conv2D1|     0|     1|     1| 28   x   x   x   x   x   x   x | 29       |       1        1        1      256       40       40 |       1        1        1       64       40       40 |  26214400 |
   30|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/FusedConv_4/add     |     0|     2|     1| 29  27   x   x   x   x   x   x | 30       |       1        1        1       64       40       40 |       1        1        1       64       40       40 |    102400 |
   31|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_5/Conv/Conv2D|     0|     1|     1| 30   x   x   x   x   x   x   x | 31       |       1        1        1       64       40       40 |       1        1        1      512       20       20 | 117964800 |
   32|TIDL_ConvolutionLayer         |eExtractor/MobileDetDSP/FusedConv_5/Conv_1/Conv2D1|     0|     1|     1| 31   x   x   x   x   x   x   x | 32       |       1        1        1      512       20       20 |       1        1        1      120       20       20 |  24576000 |
   33|TIDL_ConvolutionLayer         |se;FeatureExtractor/MobileDetDSP/IBN_2/Conv/Conv2D|     0|     1|     1| 32   x   x   x   x   x   x   x | 33       |       1        1        1      120       20       20 |       1        1        1      480       20       20 |  23040000 |
   34|TIDL_ConvolutionLayer         |actor/MobileDetDSP/IBN_2/SeparableConv2d/depthwise|     0|     1|     1| 33   x   x   x   x   x   x   x | 34       |       1        1        1      480       20       20 |       1        1        1      480       20       20 |   1728000 |
   35|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_2/Conv_1/Conv2D1|     0|     1|     1| 34   x   x   x   x   x   x   x | 35       |       1        1        1      480       20       20 |       1        1        1      120       20       20 |  23040000 |
   36|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN_2/add           |     0|     2|     1| 35  32   x   x   x   x   x   x | 36       |       1        1        1      120       20       20 |       1        1        1      120       20       20 |     48000 |
   37|TIDL_ConvolutionLayer         |2D;FeatureExtractor/MobileDetDSP/IBN_3/Conv/Conv2D|     0|     1|     1| 36   x   x   x   x   x   x   x | 37       |       1        1        1      120       20       20 |       1        1        1      960       20       20 |  46080000 |
   38|TIDL_ConvolutionLayer         |actor/MobileDetDSP/IBN_3/SeparableConv2d/depthwise|     0|     1|     1| 37   x   x   x   x   x   x   x | 38       |       1        1        1      960       20       20 |       1        1        1      960       20       20 |   3456000 |
   39|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_3/Conv_1/Conv2D1|     0|     1|     1| 38   x   x   x   x   x   x   x | 39       |       1        1        1      960       20       20 |       1        1        1      120       20       20 |  46080000 |
   40|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN_3/add           |     0|     2|     1| 39  36   x   x   x   x   x   x | 40       |       1        1        1      120       20       20 |       1        1        1      120       20       20 |     48000 |
   41|TIDL_ConvolutionLayer         |2D;FeatureExtractor/MobileDetDSP/IBN_4/Conv/Conv2D|     0|     1|     1| 40   x   x   x   x   x   x   x | 41       |       1        1        1      120       20       20 |       1        1        1      960       20       20 |  46080000 |
   42|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_6/Conv/Conv2D|     0|     1|     1| 41   x   x   x   x   x   x   x | 42       |       1        1        1      960       20       20 |       1        1        1      960       20       20 |   3456000 |
   43|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_4/Conv_1/Conv2D1|     0|     1|     1| 42   x   x   x   x   x   x   x | 43       |       1        1        1      960       20       20 |       1        1        1      120       20       20 |  46080000 |
   44|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN_4/add           |     0|     2|     1| 43  40   x   x   x   x   x   x | 44       |       1        1        1      120       20       20 |       1        1        1      120       20       20 |     48000 |
   45|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_6/Conv/Conv2D|     0|     1|     1| 44   x   x   x   x   x   x   x | 45       |       1        1        1      120       20       20 |       1        1        1      960       20       20 | 414720000 |
   46|TIDL_ConvolutionLayer         |eExtractor/MobileDetDSP/FusedConv_6/Conv_1/Conv2D1|     0|     1|     1| 45   x   x   x   x   x   x   x | 46       |       1        1        1      960       20       20 |       1        1        1      144       20       20 |  55296000 |
   47|TIDL_ConvolutionLayer         |se;FeatureExtractor/MobileDetDSP/IBN_5/Conv/Conv2D|     0|     1|     1| 46   x   x   x   x   x   x   x | 47       |       1        1        1      144       20       20 |       1        1        1     1152       20       20 |  66355200 |
   48|TIDL_ConvolutionLayer         |actor/MobileDetDSP/IBN_5/SeparableConv2d/depthwise|     0|     1|     1| 47   x   x   x   x   x   x   x | 48       |       1        1        1     1152       20       20 |       1        1        1     1152       20       20 |   4147200 |
   49|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_5/Conv_1/Conv2D1|     0|     1|     1| 48   x   x   x   x   x   x   x | 49       |       1        1        1     1152       20       20 |       1        1        1      144       20       20 |  66355200 |
   50|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN_5/add           |     0|     2|     1| 49  46   x   x   x   x   x   x | 50       |       1        1        1      144       20       20 |       1        1        1      144       20       20 |     57600 |
   51|TIDL_ConvolutionLayer         |se;FeatureExtractor/MobileDetDSP/IBN_6/Conv/Conv2D|     0|     1|     1| 50   x   x   x   x   x   x   x | 51       |       1        1        1      144       20       20 |       1        1        1     1152       20       20 |  66355200 |
   52|TIDL_ConvolutionLayer         |actor/MobileDetDSP/IBN_6/SeparableConv2d/depthwise|     0|     1|     1| 51   x   x   x   x   x   x   x | 52       |       1        1        1     1152       20       20 |       1        1        1     1152       20       20 |   4147200 |
   53|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_6/Conv_1/Conv2D1|     0|     1|     1| 52   x   x   x   x   x   x   x | 53       |       1        1        1     1152       20       20 |       1        1        1      144       20       20 |  66355200 |
   54|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN_6/add           |     0|     2|     1| 53  50   x   x   x   x   x   x | 54       |       1        1        1      144       20       20 |       1        1        1      144       20       20 |     57600 |
   55|TIDL_ConvolutionLayer         |se;FeatureExtractor/MobileDetDSP/IBN_7/Conv/Conv2D|     0|     1|     1| 54   x   x   x   x   x   x   x | 55       |       1        1        1      144       20       20 |       1        1        1     1152       20       20 |  66355200 |
   56|TIDL_ConvolutionLayer         |actor/MobileDetDSP/IBN_7/SeparableConv2d/depthwise|     0|     1|     1| 55   x   x   x   x   x   x   x | 56       |       1        1        1     1152       20       20 |       1        1        1     1152       20       20 |   4147200 |
   57|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_7/Conv_1/Conv2D1|     0|     1|     1| 56   x   x   x   x   x   x   x | 57       |       1        1        1     1152       20       20 |       1        1        1      144       20       20 |  66355200 |
   58|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN_7/add           |     0|     2|     1| 57  54   x   x   x   x   x   x | 58       |       1        1        1      144       20       20 |       1        1        1      144       20       20 |     57600 |
   59|TIDL_ConvolutionLayer         |;BoxPredictor_0/ClassPredictor_depthwise/depthwise|     0|     1|     1| 58   x   x   x   x   x   x   x | 59       |       1        1        1      144       20       20 |       1        1        1      144       20       20 |    518400 |
   60|TIDL_ConvolutionLayer         |;BoxPredictor_0/ClassPredictor_depthwise/depthwise|     0|     1|     1| 58   x   x   x   x   x   x   x | 60       |       1        1        1      144       20       20 |       1        1        1      144       20       20 |    518400 |
   61|TIDL_ConvolutionLayer         |se;FeatureExtractor/MobileDetDSP/IBN_8/Conv/Conv2D|     0|     1|     1| 58   x   x   x   x   x   x   x | 61       |       1        1        1      144       20       20 |       1        1        1      576       20       20 |  33177600 |
   62|TIDL_ConvolutionLayer         |Conv2D;BoxPredictor_0/BoxEncodingPredictor/biases1|     0|     1|     1| 59   x   x   x   x   x   x   x | 62       |       1        1        1      144       20       20 |       1        1        1       12       20       20 |    691200 |
   63|TIDL_ConvolutionLayer         |ictor/Conv2D;BoxPredictor_0/ClassPredictor/biases1|     0|     1|     1| 60   x   x   x   x   x   x   x | 63       |       1        1        1      144       20       20 |       1        1        1      273       20       20 |  15724800 |
   64|TIDL_ConvolutionLayer         |actor/MobileDetDSP/IBN_8/SeparableConv2d/depthwise|     0|     1|     1| 61   x   x   x   x   x   x   x | 64       |       1        1        1      576       20       20 |       1        1        1      576       10       10 |    518400 |
   65|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_8/Conv_1/Conv2D1|     0|     1|     1| 64   x   x   x   x   x   x   x | 65       |       1        1        1      576       10       10 |       1        1        1      160       10       10 |   9216000 |
   66|TIDL_ConvolutionLayer         |2D;FeatureExtractor/MobileDetDSP/IBN_9/Conv/Conv2D|     0|     1|     1| 65   x   x   x   x   x   x   x | 66       |       1        1        1      160       10       10 |       1        1        1      640       10       10 |  10240000 |
   67|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_7/Conv/Conv2D|     0|     1|     1| 66   x   x   x   x   x   x   x | 67       |       1        1        1      640       10       10 |       1        1        1      640       10       10 |    576000 |
   68|TIDL_ConvolutionLayer         |FeatureExtractor/MobileDetDSP/IBN_9/Conv_1/Conv2D1|     0|     1|     1| 67   x   x   x   x   x   x   x | 68       |       1        1        1      640       10       10 |       1        1        1      160       10       10 |  10240000 |
   69|TIDL_EltWiseLayer             |FeatureExtractor/MobileDetDSP/IBN_9/add           |     0|     2|     1| 68  65   x   x   x   x   x   x | 69       |       1        1        1      160       10       10 |       1        1        1      160       10       10 |     16000 |
   70|TIDL_ConvolutionLayer         |tureExtractor/MobileDetDSP/FusedConv_7/Conv/Conv2D|     0|     1|     1| 69   x   x   x   x   x   x   x | 70       |       1        1        1      160       10       10 |       1        1        1      640       10       10 |  92160000 |
