Num of Layer Detected :  83 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |v/weights;MobilenetV2/Conv/Conv2D1/Mul/Bias/InCast|     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      512      512 |    786432 |
    1|TIDL_DataConvertLayer         |MobilenetV2/Conv/Conv2D1/Mul/Bias/InCast_netFormat|     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      512      512 |       1        1        1        3      512      512 |    786432 |
    2|TIDL_BatchNormLayer           |ilenetV2/Conv/weights;MobilenetV2/Conv/Conv2D1/Mul|     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      512      512 |       1        1        1        3      512      512 |    786432 |
    3|TIDL_ConvolutionLayer         |;MobilenetV2/Conv/weights;MobilenetV2/Conv/Conv2D1|     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1        3      512      512 |       1        1        1       32      256      256 |  56623104 |
    4|TIDL_ConvolutionLayer         |ed_conv/depthwise/depthwise;logits/semantic/Conv2D|     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      256      256 |       1        1        1       32      256      256 |  18874368 |
    5|TIDL_ConvolutionLayer         |/weights;MobilenetV2/expanded_conv/project/Conv2D2|     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1        1        1       32      256      256 |       1        1        1       16      256      256 |  33554432 |
    6|TIDL_ConvolutionLayer         |weights;MobilenetV2/expanded_conv_1/expand/Conv2D1|     0|     1|     1|  5   x   x   x   x   x   x   x |  6       |       1        1        1       16      256      256 |       1        1        1       96      256      256 | 100663296 |
    7|TIDL_ConvolutionLayer         |eights;MobilenetV2/expanded_conv_12/project/Conv2D|     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1        1        1       96      256      256 |       1        1        1       96      128      128 |  14155776 |
    8|TIDL_ConvolutionLayer         |eights;MobilenetV2/expanded_conv_1/project/Conv2D1|     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1        1        1       96      128      128 |       1        1        1       24      128      128 |  37748736 |
