Num of Layer Detected :  69 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |tidl_0_1                                          |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      224      224 |    150528 |
    1|TIDL_DataConvertLayer         |tidl_0_1_netFormat                                |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      224      224 |       1        1        1        3      224      224 |    150528 |
    2|TIDL_ConvolutionLayer         |tidl_0_10                                         |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      224      224 |       1        1        1       32      112      112 |  10838016 |
    3|TIDL_ConvolutionLayer         |tidl_0_15                                         |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1       32      112      112 |       1        1        1       32      112      112 |   3612672 |
    4|TIDL_ConvolutionLayer         |tidl_0_19                                         |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      112      112 |       1        1        1       16      112      112 |   6422528 |
    5|TIDL_ConvolutionLayer         |tidl_0_24                                         |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1        1        1       16      112      112 |       1        1        1       96      112      112 |  19267584 |
    6|TIDL_ConvolutionLayer         |tidl_0_29                                         |     0|     1|     1|  5   x   x   x   x   x   x   x |  6       |       1        1        1       96      112      112 |       1        1        1       96       56       56 |   2709504 |
    7|TIDL_ConvolutionLayer         |tidl_0_33                                         |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1        1        1       96       56       56 |       1        1        1       24       56       56 |   7225344 |
    8|TIDL_ConvolutionLayer         |tidl_0_38                                         |     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1        1        1       24       56       56 |       1        1        1      144       56       56 |  10838016 |
    9|TIDL_ConvolutionLayer         |tidl_0_43                                         |     0|     1|     1|  8   x   x   x   x   x   x   x |  9       |       1        1        1      144       56       56 |       1        1        1      144       56       56 |   4064256 |
   10|TIDL_ConvolutionLayer         |tidl_0_47                                         |     0|     1|     1|  9   x   x   x   x   x   x   x | 10       |       1        1        1      144       56       56 |       1        1        1       24       56       56 |  10838016 |
   11|TIDL_EltWiseLayer             |tidl_0_48                                         |     0|     2|     1|  7  10   x   x   x   x   x   x | 11       |       1        1        1       24       56       56 |       1        1        1       24       56       56 |     75264 |
