Num of Layer Detected : 135 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |tidl_0_i0                                         |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0        0        0 |       1        1        1        3      320      320 |         0 |
    1|TIDL_DataConvertLayer         |tidl_0_i0_netFormat                               |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        1        1        3      320      320 |       1        1        1        3      320      320 |    307200 |
    2|TIDL_ConvolutionLayer         |tidl_0_5                                          |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        1        1        3      320      320 |       1        1        1       32      160      160 |  22118400 |
    3|TIDL_ConvolutionLayer         |tidl_0_10                                         |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1        1        1       32      160      160 |       1        1        1       32      160      160 |   7372800 |
    4|TIDL_ConvolutionLayer         |tidl_0_14                                         |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1        1        1       32      160      160 |       1        1        1       24      160      160 |  19660800 |
    5|TIDL_ConvolutionLayer         |tidl_0_19                                         |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1        1        1       24      160      160 |       1        1        1       96       80       80 | 132710400 |
    6|TIDL_ConvolutionLayer         |tidl_0_23                                         |     0|     1|     1|  5   x   x   x   x   x   x   x |  6       |       1        1        1       96       80       80 |       1        1        1       32       80       80 |  19660800 |
    7|TIDL_ConvolutionLayer         |tidl_0_28                                         |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1        1        1       32       80       80 |       1        1        1      128       80       80 | 235929600 |
    8|TIDL_ConvolutionLayer         |tidl_0_32                                         |     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1        1        1      128       80       80 |       1        1        1       32       80       80 |  26214400 |
    9|TIDL_EltWiseLayer             |tidl_0_33                                         |     0|     2|     1|  8   6   x   x   x   x   x   x |  9       |       1        1        1       32       80       80 |       1        1        1       32       80       80 |    204800 |
   10|TIDL_ConvolutionLayer         |tidl_0_38                                         |     0|     1|     1|  9   x   x   x   x   x   x   x | 10       |       1        1        1       32       80       80 |       1        1        1      128       80       80 |  26214400 |
   11|TIDL_ConvolutionLayer         |tidl_0_43                                         |     0|     1|     1| 10   x   x   x   x   x   x   x | 11       |       1        1        1      128       80       80 |       1        1        1      128       80       80 |   7372800 |
   12|TIDL_ConvolutionLayer         |tidl_0_47                                         |     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1        1        1      128       80       80 |       1        1        1       32       80       80 |  26214400 |
   13|TIDL_EltWiseLayer             |tidl_0_48                                         |     0|     2|     1| 12   9   x   x   x   x   x   x | 13       |       1        1        1       32       80       80 |       1        1        1       32       80       80 |    204800 |
